district,avg_rainfall,state,groundwater_resource,future_groundwater,groundwater_stress,state_pop,population,availability_score,demand_score,scarcity_score,risk_level
karimnagar,0.12527075420804223,telangana,0.117739347274644,0.0269532064605309,0.22027593075368346,andhra pradesh,0.3383148587118873,0.09351606780376936,0.30290318032442615,2.9261465079858495,High
karnal,0.07749791936065406,haryana,0.24972909599146229,0.009318422646422951,0.49743694894402285,haryana,0.13201673607935413,0.1087134233356272,0.2416427999387547,2.0355137030761967,High
karur,0.0693084686765507,tamilnadu,0.09889739757717281,0.01852580359383148,0.2995694074225958,tamil nadu,0.09197058450006787,0.06295034782192158,0.15425023137682625,2.114455050349658,High
katihar,0.179364124084722,bihar,0.3586865101942234,0.1374552466011025,0.18638507279064997,bihar,0.2742491556651963,0.22058817667248656,0.2478899308028324,1.0750331364774186,Medium
katni,0.11204520748108447,madhyapradesh,0.12574031720252773,0.0670939672312352,0.13603210404522686,madhya pradesh,0.11264168463983801,0.10266836832256268,0.11965881046145466,1.0620444073431397,Medium
kaushambi,0.0698886078557351,uttarpradesh,0.21120114929692638,0.06263111243881923,0.20823691379360848,uttar pradesh,0.14058063199793172,0.11010512166301772,0.16087751653663473,1.3394725746002178,Medium
khagaria,0.1409594526088642,bihar,0.24530140829083336,0.17567753974876654,0.09446673892029643,bihar,0.14669341794032273,0.18267746545542565,0.13102541423431485,0.6800245888880373,Low
kheda,0.10508191077242547,gujarat,0.23825410966838775,0.1255207420597051,0.1427692668209379,gujarat,0.20419657425994778,0.15116521982739803,0.1857683820282448,1.1526580128590762,Medium
khunti,0.18448940974904912,jharkhand,0.04717342521321204,0.03937932116785449,0.06748879580538386,jharkhand,0.04358718882158678,0.09976158781393961,0.0507576709167259,0.4624356473666075,Low
kishanganj,0.31522567142977187,bihar,0.2540225590235177,0.2106886658621724,0.06306570198306921,bihar,0.1488294864296879,0.2655036360376158,0.12310035109570229,0.4468193337342917,Low
kodagu,0.43017401464444777,karnataka,0.11117668890113408,0.07698969321164828,0.09798178036849349,karnataka,0.04564331598788308,0.2285195204916138,0.061344855302066195,0.25719008312455094,Low
kohima,0.20039986228471815,nagaland,0.06899212703264325,0.07328188413890208,0.002782741146489352,nagaland,0.0196141486694221,0.12284214826535086,0.014564726412542275,0.10963934717051833,Low
kokrajhar,0.3500025753842066,assam,0.7091579455698829,0.7227586904600841,0.009432027885995488,assam,0.07585959178690115,0.5695760209626728,0.05593132261662945,0.09650385901702387,Low
kolar,0.07656644355706642,karnataka,0.14068144339281408,0.0,0.6186472948826853,karnataka,0.13483984573504867,0.07283101044067078,0.2799820804793397,3.3801601476283087,High
kolhapur,0.28903238748959675,maharashtra,0.43756141398998694,0.26684065595642054,0.12285069861448782,maharashtra,0.3473747542031422,0.3269335759797609,0.28001753752654585,0.8310763826736165,Medium
kollam,0.3702529569477088,kerala,0.11821826894847165,0.05725101916227872,0.1446146635812414,kerala,0.2346732952558277,0.20074196921230866,0.2076557057534518,0.9853552499751596,Medium
koppal,0.06217031693491325,karnataka,0.196216288595122,0.0884164326278421,0.165529160198014,karnataka,0.12153315829817278,0.11025794314085452,0.13473195886812514,1.1203580848735926,Medium
koraput,0.18668797458231332,odisha,0.16970292433904333,0.13757627637798397,0.06523331087612406,orissa,0.12059993419375632,0.16685895004803353,0.10398994719846665,0.5879823846642975,Low
korba,0.19250156556250456,chattisgarh,0.12428402270756261,0.08294568997793239,0.10474823515627286,chhattisgarh,0.10488356092082957,0.13916954003065032,0.10484296319146255,0.7028443150653957,Low
kota,0.0921778804316886,rajasthan,0.18455201383938336,0.014088410833250856,0.30270365271390487,rajasthan,0.17250429094135816,0.0964632795744657,0.21156409947312216,1.987202538929338,High
kottayam,0.4611564288367125,kerala,0.13318144222392295,0.08688398151418655,0.10612495972348339,kerala,0.17464244880621263,0.25048219865611787,0.15408720208139384,0.5915459976780062,Low
kozhikode,0.5358474505051818,kerala,0.10857254330822592,0.04281128525677986,0.16968862591171388,kerala,0.27563577425079083,0.25975412877157444,0.24385162974906774,0.9039773769526221,Medium
krishna,0.13738373495772302,andhra pradesh,0.5544348467092783,0.37375867865599216,0.10773602038724037,andhra pradesh,0.4056408051035994,0.33341155159267033,0.3162693696886917,0.9209631074490682,Medium
